,_lambda,mu_tlof,mu_charge,total_charge_rate,rho,num_parks,p_blocking,effective_lambda,eff_surface_rho,airspace_capacity,Lq,var_Lq,num_tlof
139,1,60,8,32,0.03125,4,3.3339216803929255e-17,1.0,0.03125,100,0.0169510841951507,0.0172385692137125,1
140,1,60,8,40,0.025,5,1.3403449357352049e-17,1.0,0.025,100,0.0169492242807761,0.0172365043129487,1
141,1,60,8,48,0.0208333333333333,6,1.443005328942426e-16,1.0,0.0208333333333333,100,0.0169491550137799,0.0172364286646642,1
142,1,60,8,56,0.0178571428571428,7,-1.4422599399488423e-16,1.0000000000000002,0.0178571428571428,100,0.0169491526201996,0.0172364262513479,1
143,1,60,8,64,0.015625,8,2.114634693479306e-16,0.9999999999999998,0.0156249999999999,100,0.0169491525362824,0.0172364258052362,1
144,1,90,8,8,0.125,1,-6.705790436822845e-16,1.0000000000000009,0.125,100,0.0347538906878794,0.0418756348865139,1
145,1,90,8,16,0.0625,2,2.558039500707987e-18,1.0,0.0625,100,0.012099735588338,0.012365676988237,1
146,1,90,8,24,0.0416666666666666,3,-1.4609624274242172e-17,1.0,0.0416666666666666,100,0.0112687417533685,0.0113987747575202,1
147,1,90,8,32,0.03125,4,2.9978190069224204e-17,1.0,0.03125,100,0.0112370912878535,0.011363443651418,1
148,1,90,8,40,0.025,5,1.6940658945086007e-16,0.9999999999999998,0.0249999999999999,100,0.0112359908226588,0.0113622407750211,1
149,1,90,8,48,0.0208333333333333,6,2.5183305961407054e-16,0.9999999999999998,0.0208333333333333,100,0.0112359560966202,0.0113622033100086,1
150,1,90,8,56,0.0178571428571428,7,8.415441737560925e-17,1.0,0.0178571428571428,100,0.0112359550930353,0.0113622022820157,1
151,1,90,8,64,0.015625,8,1.097517530416342e-16,1.0,0.0156249999999999,100,0.0112359550605693,0.0113622019626405,1
152,1,120,8,8,0.125,1,-2.216109240560371e-16,1.0000000000000002,0.125,100,0.0304207119540761,0.0368693235258035,1
153,1,120,8,16,0.0625,2,2.4340338772299578e-17,1.0,0.0625,100,0.0091615052594477,0.0093488981244583,1
154,1,120,8,24,0.0416666666666666,3,2.350008208862331e-17,1.0,0.0416666666666666,100,0.008430020123934,0.0085035098888881,1
155,1,120,8,32,0.03125,4,7.58424830642028e-17,1.0,0.0312499999999999,100,0.0084042087809759,0.0084748993715054,1
156,1,120,8,40,0.025,5,1.1763339461583547e-16,1.0,0.0249999999999999,100,0.0084033855847097,0.0084740038425799,1
157,1,120,8,48,0.0208333333333333,6,-2.4891757220962124e-16,1.0000000000000002,0.0208333333333333,100,0.0084033619614581,0.0084739776663746,1
158,1,120,8,56,0.0178571428571428,7,6.831490126195383e-17,1.0,0.0178571428571428,100,0.0084033613685349,0.0084739783423737,1
159,1,120,8,64,0.015625,8,-3.48338911426542e-16,1.0000000000000004,0.015625,100,0.008403361348208,0.0084739779993181,1
160,1,30,10,10,0.1,1,-9.540979117872439e-18,1.0,0.1,100,0.0613333333353713,0.0707840001438136,1
161,1,30,10,20,0.05,2,-7.199102425303751e-17,1.0,0.05,100,0.0358410493835771,0.0373038870744886,1
162,1,30,10,30,0.0333333333333333,3,-9.313296661650483e-17,1.0,0.0333333333333333,100,0.0345571925010138,0.0357585876835493,1
163,1,30,10,40,0.025,4,-1.2619435661373468e-16,1.0000000000000002,0.025,100,0.0344866663419398,0.0356763073793141,1
164,1,30,10,50,0.02,5,1.2874900798265365e-17,1.0,0.02,100,0.0344829536926123,0.0356720411038958,1
165,1,30,10,60,0.0166666666666666,6,1.1837454844468298e-16,1.0,0.0166666666666666,100,0.0344827679413451,0.0356718298301114,1
166,1,30,10,70,0.0142857142857142,7,-8.711564455921028e-17,1.0,0.0142857142857142,100,0.0344827590519149,0.0356718198663599,1
167,1,30,10,80,0.0125,8,-1.1561322103663396e-16,1.0000000000000002,0.0125,100,0.0344827586474506,0.0356718197371411,1
168,1,45,10,10,0.1,1,-4.141652298894627e-17,1.0,0.1,100,0.0434343434334974,0.0495889632288114,1
169,1,45,10,20,0.05,2,5.822165666247159e-17,1.0,0.0499999999999999,100,0.0235870044265165,0.024246684009739,1
170,1,45,10,30,0.0333333333333333,3,-1.041376186672327e-16,1.0,0.0333333333333333,100,0.0227650631607913,0.0232865304192035,1
171,1,45,10,40,0.025,4,1.478851763270228e-16,1.0,0.0249999999999999,100,0.0227288372620729,0.0232455441271343,1
172,1,45,10,50,0.02,5,1.305108365129426e-16,1.0,0.0199999999999999,100,0.0227273334115959,0.0232438688325945,1
173,1,45,10,60,0.0166666666666666,6,9.012430558785757e-18,1.0,0.0166666666666666,100,0.0227272749462395,0.023243803819711,1
174,1,45,10,70,0.0142857142857142,7,2.710505431213761e-18,1.0,0.0142857142857142,100,0.0227272727986761,0.0232438013574879,1
175,1,45,10,80,0.0125,8,-8.401889210404856e-17,1.0,0.0125,100,0.0227272727370611,0.0232438020653116,1
176,1,60,10,10,0.1,1,-4.211041237933699e-16,1.0000000000000004,0.1,100,0.0349358973881532,0.0398209414243914,1
177,1,60,10,20,0.05,2,-4.380176776841438e-17,1.0,0.05,100,0.0176124943825887,0.0179990978657751,1
178,1,60,10,30,0.0333333333333333,3,-1.0836600713992616e-16,1.0,0.0333333333333333,100,0.0169746699705896,0.0172648483097252,1
